measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,vix,asset_price,a,10,-4.517707285710148,2.4577022587499258,-1.8381833151783054,0.06603539752540834,-8.560267759981787,-0.4751468114385071,-11.283106213616254,2.247691642195959,2.7527333320461804,215,True
LEVEL,pooled,vix,asset_price,a,11,-1.017368876312943,2.6545495071857195,-0.38325481350375323,0.7015308396157223,-5.383714261129617,3.3489765085037306,-8.324635786309834,6.289898033683949,2.7527333320461804,214,True
LEVEL,pooled,vix,asset_price,a,12,-0.8347047954258894,2.4138629810186756,-0.3457962618382072,0.7294958346775382,-4.805156074718351,3.135746483866572,-7.4794258822683535,5.810016291416575,2.7527333320461804,213,True
LEVEL,pooled,vix,asset_price,a,13,-2.091487587926365,2.6601378111919347,-0.7862327955818299,0.4317311160321935,-6.46702491485617,2.2840497390034398,-9.414137608630773,5.231162432778042,2.7527333320461804,212,True
LEVEL,pooled,vix,asset_price,a,14,-3.1885581344845413,2.560507835871643,-1.245283490178853,0.2130275622157377,-7.400218735155678,1.0231024661865957,-10.236953401253842,3.8598371322847607,2.7527333320461804,211,True
LEVEL,pooled,vix,asset_price,a,15,-1.9573426715265705,2.578924033517461,-0.7589764747187611,0.44786662971232516,-6.199295221690086,2.2846098786369455,-9.056432819405066,5.1417474763519255,2.7527333320461804,210,True
LEVEL,pooled,vix,asset_price,a,16,-0.9697470689548155,2.8644704706570088,-0.3385432242673424,0.7349538596733015,-5.681381711910387,3.741887574000756,-8.854870412194375,6.915376274284743,2.7527333320461804,209,True
LEVEL,pooled,vix,asset_price,a,17,-3.50081680992859,3.3149038076080757,-1.0560839810476017,0.2909298482562571,-8.95334836086798,1.951714741010799,-12.625863013658138,5.624229393800958,2.7527333320461804,208,True
LEVEL,pooled,vix,asset_price,a,18,-4.429786922793575,2.285655702943608,-1.9380814516764808,0.05261328601462274,-8.189355995742686,-0.6702178498444646,-10.721587561867889,1.862013716280738,2.7527333320461804,207,True
LEVEL,pooled,vix,asset_price,a,19,-1.6791725294513935,2.166537849540262,-0.7750487856963647,0.4383108325303342,-5.242810169195336,1.8844651102925496,-7.643073483020525,4.284728424117739,2.7527333320461804,206,True
LEVEL,pooled,vix,asset_price,a,20,-3.286647017367841,2.235643207612421,-1.4701124965632824,0.1415312883694863,-6.963952855978555,0.390658821242873,-9.440776593525191,2.8674825587895096,2.7527333320461804,205,True
LEVEL,pooled,vix,asset_price,a,21,-2.503888722886973,2.318726051421267,-1.0798553461510514,0.280206600580411,-6.31785367847411,1.310076232700164,-8.88672321251812,3.878945766744175,2.7527333320461804,204,True
LEVEL,pooled,vix,asset_price,a,22,-0.243382518287234,2.5734602361300234,-0.09457403493952303,0.9246531744899852,-4.476347921501095,3.9895828849266266,-7.327432288977784,6.840667252403316,2.7527333320461804,203,True
LEVEL,pooled,vix,asset_price,a,23,-1.2190301718226626,3.262043527606707,-0.3737013812065958,0.7086264976104845,-6.58461429948013,4.146553955834804,-10.198566120851149,7.7605057772058235,2.7527333320461804,202,True
LEVEL,pooled,vix,asset_price,a,24,-4.026337706227643,3.3825427271499997,-1.1903287056539507,0.23391722251496372,-9.590125379298645,1.5374499668433579,-13.337575818323836,5.28490040586855,2.7527333320461804,201,True
LEVEL,pooled,us10y,asset_price,a,0,0.09495687807504291,0.1070362400435877,0.8871469890606604,0.3749997685008215,-0.08110206957590071,0.27101582572598654,-0.20785634835165875,0.39777010450174455,2.829071969487988,225,True
LEVEL,pooled,us10y,asset_price,a,1,0.010311954436253747,0.10203021517821736,0.10106765352049621,0.9194967552837692,-0.15751281505827625,0.17813672393078372,-0.27833886736526886,0.2989627762377764,2.829071969487988,224,True
LEVEL,pooled,us10y,asset_price,a,2,0.024338507619480632,0.07942175618183943,0.3064463541168317,0.759264819362242,-0.10629865609507345,0.15497567133403473,-0.20035135656207062,0.2490283718010319,2.829071969487988,223,True
LEVEL,pooled,us10y,asset_price,a,3,-0.00881684637551262,0.08350002475848095,-0.10559094324839836,0.9159069108188691,-0.14616216495003773,0.1285284721990125,-0.24504442587128408,0.22741073312025886,2.829071969487988,222,True
LEVEL,pooled,us10y,asset_price,a,4,-0.05558907418224096,0.09352130879775682,-0.5944000880318552,0.5522445496139662,-0.20941793815547988,0.09823978979099796,-0.3201675874518051,0.2089894390873232,2.829071969487988,221,True
LEVEL,pooled,us10y,asset_price,a,5,0.006381220169502724,0.1172770578484819,0.05441149604679758,0.9566073199033994,-0.18652237379077036,0.19928481412977578,-0.32540401685365866,0.3381664571926641,2.829071969487988,220,True
LEVEL,pooled,us10y,asset_price,a,6,0.09814919906221534,0.09672737042946825,1.0146993413181211,0.3102491682164381,-0.06095316701417408,0.25725156513860475,-0.17549949330207457,0.3717978914265052,2.829071969487988,219,True
LEVEL,pooled,us10y,asset_price,a,7,-0.009048740366980054,0.10023425173093001,-0.09027593073943024,0.928067946526628,-0.17391941287136717,0.15582193213740705,-0.292618652321557,0.27452117158759687,2.829071969487988,218,True
LEVEL,pooled,us10y,asset_price,a,8,-0.08851943765954479,0.09517339456406286,-0.9300859559018967,0.352326581647595,-0.2450657408975271,0.06802686557843754,-0.3577718204617555,0.1807329451426659,2.829071969487988,217,True
LEVEL,pooled,us10y,asset_price,a,9,-0.010482884955164636,0.09706477836771656,-0.10799885531548498,0.9139966002257085,-0.17014023770254402,0.14917446779221474,-0.28508612865983557,0.2641203587495063,2.829071969487988,216,True
LEVEL,pooled,us10y,asset_price,a,10,0.12489892589567787,0.08722328618843732,1.431944740374102,0.15215963663203935,-0.018570612745999512,0.26836846453735524,-0.1218620281466589,0.37165987993801464,2.829071969487988,215,True
LEVEL,pooled,us10y,asset_price,a,11,0.01484282596855328,0.10946632129630188,0.13559262604958588,0.8921433351735639,-0.16521324964470405,0.19489890158181059,-0.29484527521378034,0.32453092715088694,2.829071969487988,214,True
LEVEL,pooled,us10y,asset_price,a,12,-0.08852611505132672,0.09575672861787116,-0.9244897599269596,0.35523138052745784,-0.24603191742343994,0.06897968732078648,-0.3594287918740143,0.1823765617713608,2.829071969487988,213,True
LEVEL,pooled,us10y,asset_price,a,13,-0.05255899480958169,0.10479415671832767,-0.5015450904467228,0.6159875524739566,-0.22493004357104396,0.11981205395188056,-0.34902920614753385,0.24391121652837044,2.829071969487988,212,True
LEVEL,pooled,us10y,asset_price,a,14,0.04018036950740793,0.09140743143557821,0.43957442930366225,0.6602453641598529,-0.11017147561972089,0.19053221463453673,-0.2184178325698815,0.2987785715846974,2.829071969487988,211,True
LEVEL,pooled,us10y,asset_price,a,15,0.0012072277241169833,0.09533286483199935,0.01266329010718837,0.9898964263682482,-0.1556013807624716,0.15801583621070558,-0.2684963079430796,0.27091076339131354,2.829071969487988,210,True
LEVEL,pooled,us10y,asset_price,a,16,-0.027458099410691158,0.08023894421399749,-0.34220414637386465,0.7321972650435191,-0.15943941782384177,0.10452321900245945,-0.25445984734782184,0.19954364852643952,2.829071969487988,209,True
LEVEL,pooled,us10y,asset_price,a,17,0.1466111325246419,0.09574857630423954,1.5312095300382056,0.1257176162293408,-0.010881260484826294,0.3041035255341101,-0.12426848081606398,0.41749074586534773,2.829071969487988,208,True
LEVEL,pooled,us10y,asset_price,a,18,0.14412498090575854,0.09152745849963323,1.5746638579103132,0.11533405443773649,-0.006424291173013519,0.2946742529845306,-0.11481278637402892,0.403062748185546,2.829071969487988,207,True
LEVEL,pooled,us10y,asset_price,a,19,-0.009429485341284544,0.10706317512337875,-0.08807403040698242,0.9298178368845511,-0.1855327372559147,0.16667376657334562,-0.31231891304721904,0.2934599423646499,2.829071969487988,206,True
LEVEL,pooled,us10y,asset_price,a,20,-0.059368385605396944,0.09394071301757646,-0.6319771662185385,0.5274017978556744,-0.21388710813076497,0.09515033691997107,-0.3251334235971378,0.20639665238634394,2.829071969487988,205,True
LEVEL,pooled,us10y,asset_price,a,21,-0.09827775943475486,0.09468169450109386,-1.0379805721962387,0.29927909999446467,-0.2540152880407903,0.05745976917128062,-0.3661390873714245,0.16958356850191475,2.829071969487988,204,True
LEVEL,pooled,us10y,asset_price,a,22,-0.24579700837525445,0.09804526459713762,-2.5069748078626772,0.012176939004721925,-0.40706711745327306,-0.08452689929723586,-0.5231741181880495,0.031580101437540614,2.829071969487988,203,True
LEVEL,pooled,us10y,asset_price,a,23,0.0176609590390645,0.08542771616862979,0.20673570395119426,0.8362162719830506,-0.12285512974308713,0.15817704782121614,-0.22402019819098182,0.2593421162691108,2.829071969487988,202,True
LEVEL,pooled,us10y,asset_price,a,24,0.08189701938975118,0.09117787526050676,0.8982115360306544,0.36907278435216373,-0.06807723943022227,0.23187127820972464,-0.17605175174722076,0.33984579052672315,2.829071969487988,201,True
LEVEL,pooled,ip,real_macro,a,0,0.3620968484645258,0.3540292630833754,1.022787905471109,0.30640813769123243,-0.22022946896512124,0.9444231658941729,-0.6360317081579341,1.3602254050869858,2.8193391357804125,225,True
LEVEL,pooled,ip,real_macro,a,1,0.3896438661905409,0.7919322046428363,0.49201669525015895,0.622707541213393,-0.9129686929159039,1.6922564252969856,-1.84308159124387,2.622369323624952,2.8193391357804125,224,True
LEVEL,pooled,ip,real_macro,a,2,-1.121970415778162,0.9855576310787595,-1.1384117786699999,0.2549485779671482,-2.743068459827761,0.49912762827143653,-3.900591615645542,1.6566507840892182,2.8193391357804125,223,True
LEVEL,pooled,ip,real_macro,a,3,0.40550921323903844,0.5481859423512341,0.7397293179386571,0.4594642548515385,-0.4961764222811996,1.3071948487592766,-1.140012867716461,1.9510312941945376,2.8193391357804125,222,True
LEVEL,pooled,ip,real_macro,a,4,0.564623762257093,0.8387777243046317,0.6731506403859027,0.5008514596654793,-0.8150428197714824,1.9442903442856685,-1.8001751020957886,2.9294226266099748,2.8193391357804125,221,True
LEVEL,pooled,ip,real_macro,a,5,-0.02103785380106815,0.43625820469068166,-0.04822339975470383,0.9615382015719393,-0.7386187440738736,0.6965430364717373,-1.2509976835908088,1.2089219759886727,2.8193391357804125,220,True
LEVEL,pooled,ip,real_macro,a,6,0.14147986301986037,0.42273904011999824,0.3346742306546849,0.7378708424937965,-0.5538639803755027,0.8368237064152234,-1.0503648570126967,1.3333245830524174,2.8193391357804125,219,True
LEVEL,pooled,ip,real_macro,a,7,-0.334054916619366,0.35043344637229196,-0.9532620817947673,0.340457298366171,-0.9104666418899345,0.24235680865120263,-1.3220456464631751,0.653935813224443,2.8193391357804125,218,True
LEVEL,pooled,ip,real_macro,a,8,-0.31086366097655244,0.30423076664615256,-1.021802181296524,0.3068745367630732,-0.8112787409247035,0.1895514189715986,-1.1685933676905285,0.5468660457374237,2.8193391357804125,217,True
LEVEL,pooled,ip,real_macro,a,9,-0.13059314755949103,0.3641368142306034,-0.35863758470954266,0.7198662261973361,-0.7295449071532535,0.4683586120342714,-1.157218318698233,0.8960320235792509,2.8193391357804125,216,True
LEVEL,pooled,ip,real_macro,a,10,-0.6381047013417674,0.6393030654578612,-0.9981255148288152,0.3182184991436018,-1.689664667281325,0.4134552645977899,-2.4405168534115025,1.1643074507279674,2.8193391357804125,215,True
LEVEL,pooled,ip,real_macro,a,11,0.7160614972590935,0.3998247106617243,1.790938574241662,0.07330315269617181,0.05840837178233338,1.3737146227358537,-0.4111799569615857,1.8433029514797727,2.8193391357804125,214,True
LEVEL,pooled,ip,real_macro,a,12,0.30397206970687574,0.5672852153970146,0.5358364037288383,0.5920716203381007,-0.6291290743548509,1.2370732137686025,-1.2953973392115485,1.9033414786253,2.8193391357804125,213,True
LEVEL,pooled,ip,real_macro,a,13,0.371546000581757,0.3864235021901219,0.9614994907813731,0.3363010813991044,-0.26406409853495516,1.0071560996984692,-0.7179129021281816,1.4610049032916956,2.8193391357804125,212,True
LEVEL,pooled,ip,real_macro,a,14,-0.3636240454040273,0.30859067378082367,-1.1783377668188737,0.2386619771465971,-0.8712105344158136,0.14396244360775906,-1.23364580893115,0.5063977181230952,2.8193391357804125,211,True
LEVEL,pooled,ip,real_macro,a,15,0.18219264827697051,0.3413792962645423,0.5336956583793103,0.5935521134553219,-0.379326325349903,0.743711621903844,-0.7802713618268295,1.1446566583807705,2.8193391357804125,210,True
LEVEL,pooled,ip,real_macro,a,16,0.4429794633927373,0.449641114308474,0.9851845155975517,0.32453344513408355,-0.2966143543040576,1.1825732810895322,-0.8247113272330573,1.710670254018532,2.8193391357804125,209,True
LEVEL,pooled,ip,real_macro,a,17,-0.06538633437588398,0.38012492271841525,-0.17201275282946957,0.8634275031287038,-0.6906361922039175,0.5598635234521494,-1.137087405481417,1.006314736729649,2.8193391357804125,208,True
LEVEL,pooled,ip,real_macro,a,18,0.5311858650662469,0.932873645960246,0.5694081587217259,0.5690791813195343,-1.0032547349789074,2.065626465111401,-2.0989013137276356,3.1612730438601293,2.8193391357804125,207,True
LEVEL,pooled,ip,real_macro,a,19,-0.6920663839886195,0.3794978155196366,-1.8236373325126807,0.0682069187074241,-1.3162847422662547,-0.06784802571098447,-1.7619994272263062,0.37786665924906726,2.8193391357804125,206,True
LEVEL,pooled,ip,real_macro,a,20,-0.6832756576597986,0.4988007996784608,-1.3698367326200254,0.17073787278993668,-1.5037299621372096,0.13717864681761238,-2.089564273151849,0.7230129578322518,2.8193391357804125,205,True
LEVEL,pooled,ip,real_macro,a,21,-0.07542804040046919,0.3820445782847227,-0.19743256333886683,0.8434890492300262,-0.703835450649241,0.5529793698483025,-1.1525412715713115,1.001685190770373,2.8193391357804125,204,True
LEVEL,pooled,ip,real_macro,a,22,-0.28293029465082115,0.42471497736197683,-0.666165098316476,0.5053055786804439,-0.9815242655852812,0.4156636762836388,-1.4803458518795345,0.9144852625778921,2.8193391357804125,203,True
LEVEL,pooled,ip,real_macro,a,23,-0.7087939388138527,0.6025581211014825,-1.1763080008251652,0.2394718197553496,-1.6999138497566908,0.28232597212898536,-2.407609631217576,0.9900217535898703,2.8193391357804125,202,True
