measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,act,freight,physical_channel,a,6,-0.003048686725251078,0.0060118025042677735,-0.507116912620935,0.6120727888738777,-0.012937221878911869,0.006839848428409713,-0.01992425646535005,0.013826883014847894,2.807073207764064,219,True,1.0,0.1,0.6120727888738777,False,1.0
LEVEL,act,oil,asset_price,b,1,-0.05058214823469254,0.03905044467173661,-1.2953027464832478,0.19521581212971983,-0.11481441378706629,0.013650117317681218,-0.16220571555427954,0.061041419084894466,2.858445486547209,224,True,2.0,0.03333333333333333,0.5856474363891595,False,4.0
LEVEL,act,dxy,asset_price,b,1,0.006097235641303492,0.004139829252768814,1.4728229762678062,0.14079877523971365,-0.0007121775200730944,0.012906648802680078,-0.005625366208303773,0.017819837490910758,2.831663127595641,224,True,1.0,0.025,0.5631951009588546,False,4.0
LEVEL,act,vix,asset_price,b,1,-0.40086216372688177,1.5120212523316305,-0.26511675223395664,0.7909195225411538,-2.8879158046522715,2.0861914771985077,-4.567988179016254,3.76626385156249,2.7559969867244956,224,True,3.0,0.05,1.0,False,4.0
LEVEL,act,us10y,asset_price,b,1,0.009195894042739723,0.06772737805340209,0.1357780901467777,0.8919967121679506,-0.10220572939231225,0.1205975174777917,-0.18267722699625905,0.20106901508173847,2.8330215424508163,224,True,4.0,0.1,1.0,False,4.0
LEVEL,act,ip,real_macro,b,1,0.19491615735910395,0.38880020180925257,0.5013273050067264,0.6161407916393793,-0.4446032647463095,0.8344355794645174,-0.9069490194484523,1.2967813341666603,2.8340139014334595,224,True,3.0,0.1,1.0,False,3.0
LEVEL,act,cpi,real_macro,b,1,0.04327405208281825,0.07049894672049192,0.6138255122361961,0.5393306365910266,-0.07268639612664149,0.15923450029227798,-0.1552930759376926,0.2418411801033291,2.8165970877234874,224,True,2.0,0.05,1.0,False,3.0
LEVEL,act,infl_exp,real_macro,b,1,-0.1760674023975396,0.11498878610896576,-1.5311701980286536,0.1257273341933004,-0.36520712428761903,0.013072319492539813,-0.4987465967287397,0.14661179193366053,2.8061796741242455,224,True,1.0,0.03333333333333333,0.3771820025799012,False,3.0
LEVEL,act,freight,physical_channel,b,1,0.011424946295509959,0.009446974819108216,1.2093761774828633,0.22651835660698993,-0.004113944499419419,0.026963837090439334,-0.015107513063661208,0.03795740565468113,2.8085667493793323,224,True,1.0,0.1,0.22651835660698993,False,1.0
LEVEL,act,oil,asset_price,b,2,-0.027936929767081495,0.034016013294329,-0.8212875955025281,0.4114824716726192,-0.08388829260868805,0.028014433074525065,-0.12516984943858608,0.0692959899044231,2.858445486547209,223,True,3.0,0.05,1.0,False,4.0
LEVEL,act,dxy,asset_price,b,2,0.008472805480687382,0.004085783327440542,2.073728536651258,0.03810452939619879,0.0017522899556089528,0.01519332100576581,-0.0030967565149710267,0.02004236747634579,2.831663127595641,223,True,1.0,0.025,0.15241811758479515,False,4.0
LEVEL,act,vix,asset_price,b,2,0.02503180650103043,1.5683699570685687,0.015960396581312507,0.9872659866173523,-2.554707205784929,2.6047708187869905,-4.297391069249171,4.347454682251232,2.7559969867244956,223,True,4.0,0.1,1.0,False,4.0
LEVEL,act,us10y,asset_price,b,2,-0.04574882102314131,0.050257663470490946,-0.91028547417456,0.3626719770869631,-0.12841532106468487,0.03691767901840224,-0.18812986430828563,0.09663222226200299,2.8330215424508163,223,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,act,ip,real_macro,b,2,-0.7685087453181064,0.3228109609652749,-2.380677356865759,0.017280840130782713,-1.299485525281529,-0.2375319653546839,-1.6833594962287894,0.14634200559257649,2.8340139014334595,223,True,1.0,0.03333333333333333,0.05184252039234814,True,3.0
LEVEL,act,cpi,real_macro,b,2,-0.07659827164050706,0.12283324265708308,-0.6235956161667778,0.5328931903491319,-0.27864097633522045,0.12544443305420633,-0.4225700251840797,0.26937348190306554,2.8165970877234874,223,True,3.0,0.1,0.5328931903491319,False,3.0
LEVEL,act,infl_exp,real_macro,b,2,-0.11778652753941082,0.07961536991369204,-1.479444580450969,0.1390215327505139,-0.2487421575030303,0.013169102424208656,-0.34120156033909643,0.10562850526027479,2.8061796741242455,223,True,2.0,0.05,0.2780430655010278,False,3.0
LEVEL,act,freight,physical_channel,b,2,0.007955584220444407,0.007450581184601415,1.0677803547576548,0.28561960170812806,-0.004299531263943626,0.02021069970483244,-0.012969870358178405,0.02888103879906722,2.8085667493793323,223,True,1.0,0.1,0.28561960170812806,False,1.0
LEVEL,act,oil,asset_price,b,6,-0.02574565361819132,0.04063245580288876,-0.6336228787914152,0.5263269661345049,-0.0925800959175183,0.04108878868113565,-0.14189131351528764,0.090400006278905,2.858445486547209,219,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,act,dxy,asset_price,b,6,0.00042174982109440527,0.004770198719948502,0.08841346993170096,0.9295480557645494,-0.007424528844692158,0.008268028486880968,-0.013085846005487692,0.013929345647676502,2.831663127595641,219,True,4.0,0.1,1.0,False,4.0
LEVEL,act,vix,asset_price,b,6,1.5384419956920992,1.97946517807841,0.7772008382514516,0.4370402877463575,-1.7174884818943155,4.794372473278514,-3.916958070418066,6.9938420618022645,2.7559969867244956,219,True,1.0,0.025,1.0,False,4.0
LEVEL,act,us10y,asset_price,b,6,-0.008221228983909794,0.07597764364547527,-0.10820589570099674,0.9138323683251012,-0.13319333170139627,0.11675087373357668,-0.22346753017619259,0.20702507220837302,2.8330215424508163,219,True,3.0,0.05,1.0,False,4.0
LEVEL,act,ip,real_macro,b,6,-0.08351676615635048,0.2500228379242014,-0.3340365498197808,0.7383519783945838,-0.49476773793667317,0.32773420562397226,-0.792084964509382,0.625051432196681,2.8340139014334595,219,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,act,cpi,real_macro,b,6,-0.0005360166321030182,0.0881683869906961,-0.006079465105328296,0.9951493185346509,-0.14556010775621048,0.14448807449200446,-0.24887083865937504,0.24779880539516902,2.8165970877234874,219,True,3.0,0.1,1.0,False,3.0
LEVEL,act,infl_exp,real_macro,b,6,-0.014423740061393863,0.08866825399120548,-0.16267084793193826,0.8707776011968643,-0.16027003923428254,0.13142255911149484,-0.2632427921516007,0.23439531202881297,2.8061796741242455,219,True,2.0,0.05,1.0,False,3.0
LEVEL,act,freight,physical_channel,b,6,-0.002047593276825083,0.006185745628938453,-0.3310180210524555,0.74063087336061,-0.012222239409983713,0.008127052856333545,-0.01942067277038017,0.015325486216730001,2.8085667493793323,219,True,1.0,0.1,0.74063087336061,False,1.0
LEVEL,threat,oil,asset_price,a,1,-0.02461651569218667,0.09956281894601618,-0.24724606989617237,0.8047177931785614,-0.18838277954505414,0.1391497481606808,-0.3075970223877733,0.2583639910034,2.842230761355011,224,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,threat,dxy,asset_price,a,1,0.006068783585432187,0.006206487901878231,0.977812843813911,0.32816689746625904,-0.004139980550602655,0.01627754772146703,-0.01145879838645883,0.023596365557323203,2.8240741380623255,224,True,1.0,0.025,1.0,False,4.0
LEVEL,threat,vix,asset_price,a,1,-0.16598802910659405,3.1141238448229847,-0.053301678859862194,0.9574915425684533,-5.288265930039744,4.956289871826556,-8.682483503630792,8.350507445417605,2.7347966551433984,224,True,4.0,0.1,1.0,False,4.0
LEVEL,threat,us10y,asset_price,a,1,0.009525048152097516,0.08933264538217031,0.10662449445383376,0.915086885593117,-0.13741407760993501,0.15646417391413003,-0.24311268779167552,0.26216278409587057,2.8280561362867283,224,True,3.0,0.05,1.0,False,4.0
LEVEL,threat,ip,real_macro,a,1,0.38365592516194347,0.721889857512323,0.5314604730478489,0.5950997252222789,-0.8037472252266825,1.5710590755505693,-1.6657520667689147,2.433063917092802,2.8389483113022873,224,True,3.0,0.1,0.9486464240197516,False,3.0
LEVEL,threat,cpi,real_macro,a,1,0.15123674556028635,0.10784155177530355,1.4023977128537628,0.16079651597078048,-0.02614682201339666,0.32862031313396933,-0.15007182146939838,0.4525453125899711,2.7939932435086345,224,True,1.0,0.03333333333333333,0.48238954791234145,False,3.0
LEVEL,threat,infl_exp,real_macro,a,1,-0.08259277748558427,0.11543967735980044,-0.7154626500571419,0.4743232120098758,-0.2724741494849598,0.10728859451379125,-0.410111417796006,0.24492586282483744,2.8371409882723175,224,True,2.0,0.05,0.9486464240197516,False,3.0
LEVEL,threat,freight,physical_channel,a,1,0.016499339370170295,0.010195940645495064,1.6182263063153768,0.10561383558255005,-0.00027149058075419397,0.033270169321094785,-0.012136314932591274,0.04513499367293186,2.8085348177672884,224,True,1.0,0.1,0.10561383558255005,False,1.0
